Timestamp,  Uptime, NCPU, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %CPU4, %CPU5, %CPU6, %CPU7, %CPU8, %CPU9, %CPU10, %CPU11, %CPU12, %CPU13, %CPU14, %CPU15, %CPU16, %CPU17, %CPU18, %CPU19, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1696268657, 0, 20, 1750.0, 0.0, 0.0, 100.0, 0.0, 100.0, 100.0, 100.0, 0.0, 100.0, 0.0, 0.0, 0.0, 100.0, 100.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 4.8, 65603184, 2377884, 62473284, 55312264, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696268658, 1, 20, 968.0, 63.2, 57.5, 64.3, 28.2, 79.8, 11.9, 87.1, 14.1, 69.1, 46.1, 63.2, 13.6, 80.6, 27.5, 62.2, 24.0, 57.7, 50.5, 48.6, 26.0, 5.1, 65603184, 2566328, 62284840, 55123608, 0.0, 2097148, 0, 2097148, 0, 506, 0, 2864, 0, 26
1696268659, 2, 20, 816.0, 54.3, 58.3, 65.6, 12.7, 60.2, 6.8, 88.0, 15.5, 63.5, 29.4, 51.0, 8.0, 65.0, 51.5, 49.5, 9.8, 48.1, 34.3, 33.9, 14.0, 5.1, 65603184, 2585980, 62265136, 55103764, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696268660, 3, 20, 792.0, 43.9, 28.9, 65.3, 8.9, 78.8, 3.0, 37.9, 10.1, 52.1, 21.2, 79.8, 5.1, 57.7, 22.8, 60.8, 61.0, 53.7, 36.9, 48.1, 18.9, 5.1, 65603184, 2598300, 62252724, 55091348, 0.0, 2097148, 0, 2097148, 0, 7, 0, 136, 0, 1
1696268661, 4, 20, 886.0, 28.9, 35.3, 34.0, 12.1, 38.1, 1.0, 46.6, 11.9, 79.6, 56.6, 69.0, 10.1, 69.6, 59.8, 64.1, 66.3, 59.4, 46.9, 68.9, 23.8, 5.1, 65603184, 2607368, 62243648, 55082272, 0.0, 2097148, 0, 2097148, 0, 1, 0, 4, 0, 1
1696268662, 5, 20, 676.0, 39.0, 54.0, 43.9, 5.1, 52.6, 2.0, 81.4, 4.1, 61.8, 35.3, 35.8, 2.1, 65.6, 44.8, 25.8, 19.6, 34.9, 21.6, 37.5, 6.9, 5.1, 65603184, 2614592, 62236424, 55075048, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696268663, 6, 20, 596.0, 41.8, 57.7, 53.8, 6.0, 72.5, 0.0, 69.0, 4.0, 38.5, 19.6, 59.8, 2.0, 49.5, 16.2, 28.0, 18.6, 29.8, 14.7, 9.0, 2.0, 5.1, 65603184, 2609424, 62241592, 55080216, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696268664, 7, 20, 596.0, 26.3, 57.4, 52.5, 11.1, 80.0, 2.9, 63.3, 5.0, 32.7, 15.5, 53.8, 2.0, 67.0, 4.1, 31.3, 29.7, 31.4, 19.6, 11.8, 1.0, 5.1, 65603184, 2620564, 62230400, 55069024, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696268665, 8, 20, 648.0, 35.1, 54.3, 58.2, 10.8, 73.5, 4.0, 71.8, 6.1, 48.5, 18.8, 58.8, 3.0, 51.0, 16.0, 32.3, 14.1, 38.3, 27.6, 17.8, 7.8, 5.2, 65603184, 2631836, 62219028, 55057652, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696268666, 9, 20, 640.0, 41.7, 51.0, 39.4, 10.1, 34.3, 1.0, 44.4, 8.8, 64.4, 33.3, 60.4, 4.1, 55.0, 50.5, 20.7, 34.0, 35.9, 19.0, 29.7, 4.0, 5.2, 65603184, 2635300, 62215560, 55054184, 0.0, 2097148, 0, 2097148, 0, 2, 0, 20, 0, 0
1696268667, 10, 20, 612.0, 41.6, 55.3, 56.7, 4.2, 67.3, 2.0, 79.4, 3.1, 40.2, 14.4, 35.7, 1.0, 66.0, 19.0, 26.0, 10.1, 39.6, 25.7, 18.6, 3.1, 5.2, 65603184, 2638772, 62212088, 55050712, 0.0, 2097148, 0, 2097148, 0, 30, 0, 132, 0, 9
1696268668, 11, 20, 610.0, 35.4, 52.6, 43.0, 2.0, 44.4, 0.0, 62.3, 5.1, 58.6, 28.6, 65.7, 3.0, 49.5, 32.0, 26.3, 20.8, 31.9, 21.0, 21.4, 5.0, 5.2, 65603184, 2641796, 62209068, 55047688, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696268669, 12, 20, 672.0, 45.0, 51.6, 27.1, 7.0, 32.7, 1.0, 37.0, 4.1, 67.7, 54.5, 61.4, 3.0, 60.8, 53.5, 29.8, 45.6, 41.1, 25.0, 19.4, 5.0, 5.2, 65603184, 2646556, 62204308, 55042928, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696268670, 13, 20, 602.0, 35.7, 54.7, 44.3, 5.0, 49.5, 2.0, 62.9, 4.0, 58.6, 31.6, 55.1, 1.0, 47.9, 34.7, 28.3, 21.4, 36.3, 21.0, 13.7, 2.1, 5.2, 65603184, 2651556, 62199308, 55037928, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696268671, 14, 20, 586.0, 38.5, 56.3, 60.0, 4.0, 54.0, 1.0, 78.2, 1.1, 57.4, 10.3, 27.4, 1.0, 64.6, 28.1, 30.4, 4.0, 32.1, 20.4, 16.2, 1.0, 5.2, 65603184, 2657824, 62193040, 55031660, 0.0, 2097148, 0, 2097148, 0, 2, 0, 12, 0, 1
1696268672, 15, 20, 542.0, 30.6, 50.5, 41.6, 2.0, 74.0, 1.0, 46.9, 2.0, 31.2, 23.4, 74.8, 2.0, 37.6, 10.1, 30.4, 35.3, 24.8, 12.0, 9.0, 2.0, 5.2, 65603184, 2662584, 62188280, 55026900, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696268673, 16, 20, 560.0, 29.3, 53.7, 53.0, 3.0, 72.3, 0.0, 29.6, 6.0, 34.3, 14.3, 85.6, 1.0, 33.3, 8.1, 28.9, 51.1, 26.0, 13.7, 16.0, 4.0, 5.2, 65603184, 2667028, 62183832, 55022448, 0.0, 2097148, 0, 2097148, 0, 7, 0, 100, 0, 1
1696268674, 17, 20, 598.0, 43.3, 52.7, 48.4, 3.0, 76.3, 0.0, 65.3, 4.0, 37.6, 23.2, 53.4, 2.0, 60.0, 14.3, 31.2, 25.0, 27.7, 16.0, 11.0, 5.0, 5.2, 65603184, 2672800, 62178056, 55016672, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696268675, 18, 20, 594.0, 29.8, 57.6, 56.3, 7.1, 71.0, 1.0, 61.2, 2.1, 31.6, 15.3, 55.2, 3.0, 59.6, 10.9, 34.7, 26.3, 34.6, 17.6, 10.9, 2.0, 5.2, 65603184, 2674256, 62176604, 55015216, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696268676, 19, 20, 594.0, 37.9, 45.5, 58.5, 5.1, 74.7, 0.0, 69.0, 5.1, 32.7, 12.1, 45.5, 2.0, 62.4, 7.2, 40.4, 15.2, 39.2, 21.4, 15.8, 6.0, 5.2, 65603184, 2681668, 62169192, 55007804, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
