Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1696865225, 0, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865226, 1, enp5s0f1, 137371501, 0, 311199, 0, 0, 0, 0, 0
1696865227, 2, enp5s0f1, 139627094, 0, 315851, 0, 0, 0, 0, 0
1696865228, 3, enp5s0f1, 78419189, 0, 164565, 0, 0, 0, 0, 0
1696865229, 4, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865230, 5, enp5s0f1, 440, 0, 2, 0, 0, 0, 0, 0
1696865231, 6, enp5s0f1, 196, 0, 2, 0, 0, 0, 0, 0
1696865232, 7, enp5s0f1, 172, 0, 2, 0, 0, 0, 0, 0
1696865233, 8, enp5s0f1, 644, 0, 3, 0, 0, 0, 0, 0
1696865234, 9, enp5s0f1, 107, 0, 1, 0, 0, 0, 0, 0
1696865235, 10, enp5s0f1, 204, 0, 1, 0, 0, 0, 0, 0
1696865236, 11, enp5s0f1, 62, 0, 1, 0, 0, 0, 0, 0
1696865237, 12, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865238, 13, enp5s0f1, 437, 0, 2, 0, 0, 0, 0, 0
1696865239, 14, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865240, 15, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865241, 16, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865242, 17, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865243, 18, enp5s0f1, 62, 0, 1, 0, 0, 0, 0, 0
1696865244, 19, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865245, 20, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865246, 21, enp5s0f1, 437, 0, 2, 0, 0, 0, 0, 0
1696865247, 22, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
