Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1697161484, 0, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161485, 1, enp1s0f0, 36883095, 0, 86988, 0, 0, 0, 0, 0
1697161486, 2, enp1s0f0, 39652626, 0, 90067, 0, 0, 0, 0, 0
1697161487, 3, enp1s0f0, 42133380, 0, 90566, 0, 0, 0, 0, 0
1697161488, 4, enp1s0f0, 43637290, 0, 94731, 0, 0, 0, 0, 0
1697161489, 5, enp1s0f0, 46897422, 0, 97588, 0, 0, 0, 0, 0
1697161490, 6, enp1s0f0, 33608973, 0, 78161, 0, 0, 0, 0, 0
1697161491, 7, enp1s0f0, 24511637, 0, 67360, 0, 0, 0, 0, 0
1697161492, 8, enp1s0f0, 32311172, 0, 72645, 0, 0, 0, 0, 0
1697161493, 9, enp1s0f0, 39086786, 0, 81563, 0, 0, 0, 0, 0
1697161494, 10, enp1s0f0, 16695403, 0, 31946, 0, 0, 0, 0, 0
1697161495, 11, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161496, 12, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161497, 13, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161498, 14, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161499, 15, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161500, 16, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161501, 17, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161502, 18, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161503, 19, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161504, 20, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161505, 21, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161506, 22, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161507, 23, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161508, 24, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161509, 25, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161510, 26, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161511, 27, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161512, 28, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697161513, 29, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
