Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1696865396, 0, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865397, 1, enp5s0f1, 370367765, 0, 840981, 0, 0, 0, 0, 0
1696865398, 2, enp5s0f1, 402459593, 0, 912986, 0, 0, 0, 0, 0
1696865399, 3, enp5s0f1, 404169448, 0, 889424, 0, 0, 0, 0, 0
1696865400, 4, enp5s0f1, 408658129, 62, 826355, 1, 0, 0, 0, 0
1696865401, 5, enp5s0f1, 401528941, 107, 955084, 1, 0, 0, 0, 0
1696865402, 6, enp5s0f1, 398641313, 0, 970397, 0, 0, 0, 0, 0
1696865403, 7, enp5s0f1, 406551459, 334, 852324, 1, 0, 0, 0, 0
1696865404, 8, enp5s0f1, 50966123, 0, 85372, 0, 0, 0, 0, 0
1696865405, 9, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865406, 10, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865407, 11, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865408, 12, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865409, 13, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865410, 14, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865411, 15, enp5s0f1, 260, 0, 2, 0, 0, 0, 0, 0
1696865412, 16, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865413, 17, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865414, 18, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865415, 19, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865416, 20, enp5s0f1, 0, 62, 0, 1, 0, 0, 0, 0
1696865417, 21, enp5s0f1, 0, 107, 0, 1, 0, 0, 0, 0
1696865418, 22, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865419, 23, enp5s0f1, 0, 334, 0, 1, 0, 0, 0, 0
1696865420, 24, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865421, 25, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865422, 26, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696865423, 27, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
