Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1696883968, 0, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696883969, 1, enp5s0f1, 204290688, 0, 533544, 0, 0, 0, 0, 0
1696883970, 2, enp5s0f1, 304804700, 530, 685621, 3, 0, 0, 0, 0
1696883971, 3, enp5s0f1, 363594993, 389, 737300, 4, 0, 0, 0, 0
1696883972, 4, enp5s0f1, 290515936, 646, 653815, 3, 0, 0, 0, 0
1696883973, 5, enp5s0f1, 219744061, 107, 570501, 1, 0, 0, 0, 0
1696883974, 6, enp5s0f1, 332204973, 202, 673740, 1, 0, 0, 0, 0
1696883975, 7, enp5s0f1, 288300239, 396, 661184, 2, 0, 0, 0, 0
1696883976, 8, enp5s0f1, 295365505, 0, 650178, 0, 0, 0, 0, 0
1696883977, 9, enp5s0f1, 342582844, 107, 710702, 1, 0, 0, 0, 0
1696883978, 10, enp5s0f1, 314284297, 0, 671338, 0, 0, 0, 0, 0
1696883979, 11, enp5s0f1, 352609482, 0, 696210, 0, 0, 0, 0, 0
1696883980, 12, enp5s0f1, 273228599, 334, 608787, 1, 0, 0, 0, 0
1696883981, 13, enp5s0f1, 234903003, 0, 584029, 0, 0, 0, 0, 0
1696883982, 14, enp5s0f1, 204519367, 62, 537438, 1, 0, 0, 0, 0
1696883983, 15, enp5s0f1, 189816247, 0, 517346, 0, 0, 0, 0, 0
1696883984, 16, enp5s0f1, 221235177, 0, 524802, 0, 0, 0, 0, 0
1696883985, 17, enp5s0f1, 221520858, 107, 510151, 1, 0, 0, 0, 0
1696883986, 18, enp5s0f1, 255621257, 0, 597405, 0, 0, 0, 0, 0
1696883987, 19, enp5s0f1, 263727508, 0, 576242, 0, 0, 0, 0, 0
1696883988, 20, enp5s0f1, 349109017, 334, 654834, 1, 0, 0, 0, 0
1696883989, 21, enp5s0f1, 164500636, 0, 310051, 0, 0, 0, 0, 0
1696883990, 22, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696883991, 23, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696883992, 24, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696883993, 25, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696883994, 26, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696883995, 27, enp5s0f1, 550, 0, 3, 0, 0, 0, 0, 0
1696883996, 28, enp5s0f1, 86, 0, 1, 0, 0, 0, 0, 0
1696883997, 29, enp5s0f1, 376, 0, 3, 0, 0, 0, 0, 0
1696883998, 30, enp5s0f1, 547, 62, 3, 1, 0, 0, 0, 0
1696883999, 31, enp5s0f1, 294, 0, 2, 0, 0, 0, 0, 0
1696884000, 32, enp5s0f1, 62, 0, 1, 0, 0, 0, 0, 0
1696884001, 33, enp5s0f1, 0, 107, 0, 1, 0, 0, 0, 0
1696884002, 34, enp5s0f1, 437, 0, 2, 0, 0, 0, 0, 0
1696884003, 35, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696884004, 36, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696884005, 37, enp5s0f1, 0, 334, 0, 1, 0, 0, 0, 0
1696884006, 38, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696884007, 39, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696884008, 40, enp5s0f1, 62, 0, 1, 0, 0, 0, 0, 0
