Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1696882597, 0, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882598, 1, enp5s0f1, 147706782, 0, 331503, 0, 0, 0, 0, 0
1696882599, 2, enp5s0f1, 156978540, 0, 349656, 0, 0, 0, 0, 0
1696882600, 3, enp5s0f1, 167389067, 0, 358874, 0, 0, 0, 0, 0
1696882601, 4, enp5s0f1, 106332283, 0, 269476, 0, 0, 0, 0, 0
1696882602, 5, enp5s0f1, 132430388, 0, 273730, 0, 0, 0, 0, 0
1696882603, 6, enp5s0f1, 110, 0, 1, 0, 0, 0, 0, 0
1696882604, 7, enp5s0f1, 311, 0, 2, 0, 0, 0, 0, 0
1696882605, 8, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882606, 9, enp5s0f1, 62, 0, 1, 0, 0, 0, 0, 0
1696882607, 10, enp5s0f1, 330, 107, 1, 1, 0, 0, 0, 0
1696882608, 11, enp5s0f1, 107, 62, 1, 1, 0, 0, 0, 0
1696882609, 12, enp5s0f1, 0, 334, 0, 1, 0, 0, 0, 0
1696882610, 13, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882611, 14, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882612, 15, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882613, 16, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882614, 17, enp5s0f1, 62, 0, 1, 0, 0, 0, 0, 0
1696882615, 18, enp5s0f1, 330, 0, 1, 0, 0, 0, 0, 0
1696882616, 19, enp5s0f1, 107, 0, 1, 0, 0, 0, 0, 0
1696882617, 20, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882618, 21, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882619, 22, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882620, 23, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882621, 24, enp5s0f1, 0, 530, 0, 3, 0, 0, 0, 0
