Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1697163625, 0, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163626, 1, enp1s0f0, 1082351304, 0, 2427991, 0, 0, 0, 0, 0
1697163627, 2, enp1s0f0, 1185670285, 0, 2680508, 0, 0, 0, 0, 0
1697163628, 3, enp1s0f0, 1181459880, 0, 2455440, 0, 0, 0, 0, 0
1697163629, 4, enp1s0f0, 1180235255, 0, 2906726, 0, 0, 0, 0, 0
1697163630, 5, enp1s0f0, 1056967754, 0, 2195174, 0, 0, 0, 0, 0
1697163631, 6, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163632, 7, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163633, 8, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163634, 9, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163635, 10, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163636, 11, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163637, 12, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163638, 13, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163639, 14, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163640, 15, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163641, 16, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163642, 17, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163643, 18, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163644, 19, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163645, 20, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163646, 21, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163647, 22, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163648, 23, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697163649, 24, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
