Timestamp,  Uptime, NCPU, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %CPU4, %CPU5, %CPU6, %CPU7, %CPU8, %CPU9, %CPU10, %CPU11, %CPU12, %CPU13, %CPU14, %CPU15, %CPU16, %CPU17, %CPU18, %CPU19, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1696865567, 0, 20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9, 65603184, 1795476, 63056452, 55814340, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696865568, 1, 20, 738.0, 57.7, 38.3, 43.7, 20.8, 63.4, 1.0, 53.5, 6.3, 43.0, 42.5, 81.9, 5.1, 43.2, 34.3, 50.5, 32.0, 42.4, 37.9, 31.6, 10.1, 3.9, 65603184, 1829884, 63022044, 55779832, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696865569, 2, 20, 774.0, 61.6, 43.6, 52.5, 15.2, 71.3, 1.0, 56.0, 11.3, 53.7, 37.4, 82.5, 4.2, 45.4, 28.1, 49.5, 33.0, 47.1, 35.6, 33.7, 9.2, 4.0, 65603184, 1844504, 63007400, 55764760, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696865570, 3, 20, 636.0, 43.3, 43.6, 39.4, 13.3, 60.0, 0.0, 59.4, 9.4, 35.4, 26.6, 72.0, 5.0, 43.8, 37.5, 38.0, 29.8, 27.5, 16.2, 26.7, 5.0, 4.0, 65603184, 1858464, 62993392, 55750768, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696865571, 4, 20, 570.0, 34.3, 43.9, 29.6, 7.2, 48.9, 0.0, 44.8, 10.3, 32.0, 31.7, 62.7, 3.1, 37.5, 30.9, 39.2, 42.9, 24.8, 16.3, 23.7, 1.0, 4.0, 65603184, 1861872, 62989984, 55747356, 0.0, 2097148, 0, 2097148, 0, 2, 0, 52, 0, 1
1696865572, 5, 20, 532.0, 32.3, 32.6, 34.4, 15.8, 58.3, 2.0, 47.4, 5.2, 32.3, 16.7, 61.2, 3.0, 30.9, 28.9, 33.0, 31.6, 25.7, 12.2, 26.6, 2.0, 4.0, 65603184, 1866044, 62985812, 55743184, 0.0, 2097148, 0, 2097148, 0, 220, 0, 1212, 0, 13
1696865573, 6, 20, 542.0, 38.9, 26.7, 39.4, 9.3, 56.4, 0.0, 60.0, 5.1, 37.0, 20.0, 55.3, 1.0, 38.1, 33.7, 28.7, 29.3, 27.7, 15.0, 14.4, 3.0, 4.0, 65603184, 1873512, 62978344, 55735716, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696865574, 7, 20, 568.0, 39.6, 31.6, 36.5, 19.4, 50.0, 0.0, 51.1, 9.2, 32.6, 22.3, 54.3, 8.0, 39.4, 32.3, 35.1, 25.0, 31.4, 22.5, 25.3, 4.0, 4.0, 65603184, 1882716, 62969116, 55726488, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696865575, 8, 20, 554.0, 38.7, 34.3, 37.9, 16.5, 51.1, 2.0, 42.7, 8.1, 28.6, 29.8, 58.0, 2.0, 36.5, 26.3, 35.7, 30.1, 29.7, 21.2, 28.4, 3.0, 4.0, 65603184, 1884252, 62967528, 55724900, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696865576, 9, 20, 542.0, 37.3, 24.7, 35.6, 12.6, 64.5, 0.0, 44.0, 6.2, 26.6, 24.0, 60.0, 6.2, 35.9, 25.0, 33.7, 27.4, 32.0, 14.3, 24.0, 2.0, 4.0, 65603184, 1886484, 62965296, 55722660, 0.0, 2097148, 0, 2097148, 0, 2, 0, 36, 0, 1
