Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1695722548, 0, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722549, 1, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722550, 2, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722551, 3, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722552, 4, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722553, 5, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722554, 6, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722555, 7, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722556, 8, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722557, 9, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722558, 10, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722559, 11, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722560, 12, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722561, 13, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722562, 14, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722563, 15, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722564, 16, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722565, 17, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722566, 18, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722567, 19, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695722568, 20, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
