Timestamp,  Uptime, NCPU, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %CPU4, %CPU5, %CPU6, %CPU7, %CPU8, %CPU9, %CPU10, %CPU11, %CPU12, %CPU13, %CPU14, %CPU15, %CPU16, %CPU17, %CPU18, %CPU19, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1695912027, 0, 20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.1, 65603184, 1932088, 62919816, 56616124, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1695912028, 1, 20, 1372.0, 84.0, 60.6, 78.1, 54.5, 75.8, 36.5, 79.4, 55.3, 86.6, 65.4, 84.5, 65.7, 78.1, 51.0, 78.0, 43.4, 78.8, 77.3, 78.0, 71.3, 4.1, 65603184, 1941360, 62910548, 56606668, 0.0, 2097148, 0, 2097148, 0, 1, 0, 4, 0, 1
1695912029, 2, 20, 1220.0, 78.8, 43.1, 75.2, 34.0, 80.8, 17.6, 77.8, 33.7, 79.8, 63.1, 78.8, 49.5, 72.9, 31.7, 73.5, 32.4, 83.0, 81.2, 80.8, 59.6, 4.1, 65603184, 1966120, 62885784, 56581776, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1695912030, 3, 20, 1038.0, 65.3, 42.3, 65.3, 29.2, 71.0, 6.0, 72.9, 29.5, 65.6, 49.5, 71.9, 29.7, 66.0, 32.1, 65.7, 26.5, 71.0, 68.7, 70.2, 45.8, 4.1, 65603184, 1963768, 62888108, 56584092, 0.0, 2097148, 0, 2097148, 0, 13, 0, 108, 0, 5
1695912031, 4, 20, 942.0, 60.6, 31.6, 62.6, 28.4, 61.9, 3.9, 67.0, 33.0, 58.1, 45.6, 64.2, 20.8, 60.2, 31.7, 63.5, 29.1, 63.1, 63.4, 61.4, 35.4, 4.1, 65603184, 1967284, 62884584, 56580568, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1695912032, 5, 20, 1074.0, 63.2, 40.0, 70.6, 28.0, 74.0, 5.9, 75.0, 33.3, 71.3, 56.4, 70.7, 32.4, 63.5, 26.3, 68.3, 29.7, 69.5, 73.0, 72.5, 52.9, 4.2, 65603184, 1971376, 62880492, 56576476, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1695912033, 6, 20, 1210.0, 74.7, 53.8, 69.6, 34.6, 79.0, 10.8, 78.4, 40.7, 83.2, 66.3, 80.9, 48.0, 71.6, 36.2, 72.9, 27.0, 77.2, 78.4, 77.0, 61.9, 4.2, 65603184, 1975676, 62876192, 56572176, 0.0, 2097148, 0, 2097148, 0, 162, 0, 744, 0, 7
1695912034, 7, 20, 1388.0, 79.4, 57.9, 80.0, 44.4, 83.9, 29.4, 86.9, 46.9, 82.5, 77.1, 83.3, 69.2, 77.7, 50.0, 83.7, 31.7, 86.0, 85.3, 84.8, 74.0, 4.2, 65603184, 1975660, 62876208, 56572192, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1695912035, 8, 20, 1284.0, 83.3, 49.0, 75.8, 38.7, 76.5, 14.1, 80.6, 43.3, 84.0, 71.8, 83.8, 59.2, 77.6, 38.5, 76.8, 28.0, 82.5, 83.2, 80.6, 62.4, 4.2, 65603184, 1978928, 62872940, 56568916, 0.0, 2097148, 0, 2097148, 0, 2, 0, 24, 0, 1
1695912036, 9, 20, 1144.0, 75.0, 35.9, 75.0, 25.5, 80.6, 8.9, 77.0, 33.6, 71.4, 59.6, 74.2, 44.3, 71.9, 28.2, 75.8, 23.8, 82.8, 77.8, 73.2, 62.4, 4.2, 65603184, 1984324, 62867544, 56563520, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1695912037, 10, 20, 1042.0, 66.7, 41.0, 67.7, 24.5, 73.2, 3.0, 73.7, 24.0, 68.7, 49.0, 73.0, 22.4, 69.4, 26.3, 69.5, 30.4, 74.5, 73.5, 66.3, 46.5, 4.2, 65603184, 1985572, 62866288, 56562260, 0.0, 2097148, 0, 2097148, 0, 5, 0, 92, 0, 1
