Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1696881278, 0, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881279, 1, enp5s0f1, 385947974, 0, 872610, 0, 0, 0, 0, 0
1696881280, 2, enp5s0f1, 402668993, 0, 914781, 0, 0, 0, 0, 0
1696881281, 3, enp5s0f1, 406055389, 0, 892553, 0, 0, 0, 0, 0
1696881282, 4, enp5s0f1, 409216826, 0, 846896, 0, 0, 0, 0, 0
1696881283, 5, enp5s0f1, 402857622, 0, 952994, 0, 0, 0, 0, 0
1696881284, 6, enp5s0f1, 400574937, 0, 971235, 0, 0, 0, 0, 0
1696881285, 7, enp5s0f1, 409800597, 0, 835091, 0, 0, 0, 0, 0
1696881286, 8, enp5s0f1, 26219934, 0, 46760, 0, 0, 0, 0, 0
1696881287, 9, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881288, 10, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881289, 11, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881290, 12, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881291, 13, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881292, 14, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881293, 15, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881294, 16, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881295, 17, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881296, 18, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881297, 19, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881298, 20, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881299, 21, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881300, 22, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881301, 23, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881302, 24, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881303, 25, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881304, 26, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696881305, 27, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
