Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1696882726, 0, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882727, 1, enp5s0f1, 348360009, 0, 880533, 0, 0, 0, 0, 0
1696882728, 2, enp5s0f1, 390738737, 0, 797771, 0, 0, 0, 0, 0
1696882729, 3, enp5s0f1, 387089594, 0, 846977, 0, 0, 0, 0, 0
1696882730, 4, enp5s0f1, 386557402, 0, 910637, 0, 0, 0, 0, 0
1696882731, 5, enp5s0f1, 389314355, 0, 835244, 0, 0, 0, 0, 0
1696882732, 6, enp5s0f1, 387458211, 0, 883413, 0, 0, 0, 0, 0
1696882733, 7, enp5s0f1, 388671933, 0, 805509, 0, 0, 0, 0, 0
1696882734, 8, enp5s0f1, 392262552, 0, 811153, 0, 0, 0, 0, 0
1696882735, 9, enp5s0f1, 386637749, 0, 814638, 0, 0, 0, 0, 0
1696882736, 10, enp5s0f1, 384873334, 0, 909372, 0, 0, 0, 0, 0
1696882737, 11, enp5s0f1, 375785391, 0, 995846, 0, 0, 0, 0, 0
1696882738, 12, enp5s0f1, 378497374, 0, 907076, 0, 0, 0, 0, 0
1696882739, 13, enp5s0f1, 379134128, 0, 867077, 0, 0, 0, 0, 0
1696882740, 14, enp5s0f1, 389169560, 0, 788696, 0, 0, 0, 0, 0
1696882741, 15, enp5s0f1, 322106026, 0, 611872, 0, 0, 0, 0, 0
1696882742, 16, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882743, 17, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882744, 18, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882745, 19, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882746, 20, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882747, 21, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882748, 22, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882749, 23, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882750, 24, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882751, 25, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882752, 26, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882753, 27, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882754, 28, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882755, 29, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882756, 30, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882757, 31, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882758, 32, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882759, 33, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696882760, 34, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
