Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1696711413, 0, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696711414, 1, enp5s0f1, 345107947, 0, 764127, 0, 0, 0, 0, 0
1696711415, 2, enp5s0f1, 364646108, 0, 816998, 0, 0, 0, 0, 0
1696711416, 3, enp5s0f1, 1081886, 0, 2108, 0, 0, 0, 0, 0
1696711417, 4, enp5s0f1, 330, 0, 1, 0, 0, 0, 0, 0
1696711418, 5, enp5s0f1, 107, 0, 1, 0, 0, 0, 0, 0
1696711419, 6, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696711420, 7, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696711421, 8, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696711422, 9, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696711423, 10, enp5s0f1, 62, 0, 1, 0, 0, 0, 0, 0
1696711424, 11, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696711425, 12, enp5s0f1, 330, 0, 1, 0, 0, 0, 0, 0
1696711426, 13, enp5s0f1, 107, 0, 1, 0, 0, 0, 0, 0
1696711427, 14, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696711428, 15, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696711429, 16, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696711430, 17, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696711431, 18, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696711432, 19, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696711433, 20, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696711434, 21, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1696711435, 22, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
