Timestamp,  Uptime, NCPU, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %CPU4, %CPU5, %CPU6, %CPU7, %CPU8, %CPU9, %CPU10, %CPU11, %CPU12, %CPU13, %CPU14, %CPU15, %CPU16, %CPU17, %CPU18, %CPU19, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1696704332, 0, 20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.4, 65603184, 2800960, 62050864, 54862996, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696704333, 1, 20, 886.0, 55.2, 34.7, 57.0, 22.2, 63.3, 3.0, 62.9, 26.4, 69.1, 37.5, 64.3, 22.3, 61.2, 27.9, 56.3, 33.3, 56.3, 55.8, 54.9, 31.4, 5.5, 65603184, 2830480, 62021360, 54833360, 0.0, 2097148, 0, 2097148, 0, 2, 0, 88, 0, 1
1696704334, 2, 20, 728.0, 47.0, 37.5, 49.5, 23.3, 54.1, 1.0, 59.2, 17.3, 54.9, 33.7, 57.0, 13.1, 46.2, 30.7, 55.1, 28.7, 39.8, 29.3, 39.0, 13.0, 5.5, 65603184, 2839412, 62012412, 54824364, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696704335, 3, 20, 628.0, 39.8, 37.1, 40.0, 16.7, 48.9, 2.0, 51.5, 14.4, 40.0, 32.7, 45.1, 6.9, 46.9, 32.0, 44.8, 33.7, 35.3, 27.6, 33.0, 7.0, 5.5, 65603184, 2858696, 61993104, 54805056, 0.0, 2097148, 0, 2097148, 0, 21, 0, 96, 0, 7
1696704336, 4, 20, 600.0, 42.7, 35.3, 37.4, 13.1, 45.9, 1.0, 51.5, 19.2, 40.8, 27.7, 48.0, 3.1, 45.4, 30.3, 44.9, 31.0, 32.1, 18.6, 26.0, 5.0, 5.5, 65603184, 2862756, 61989044, 54800996, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696704337, 5, 20, 660.0, 43.0, 36.2, 43.4, 15.2, 49.0, 0.0, 53.0, 16.7, 40.6, 36.5, 51.0, 6.1, 46.5, 33.7, 47.0, 35.6, 33.0, 31.7, 33.3, 5.9, 5.5, 65603184, 2867516, 61984284, 54796236, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696704338, 6, 20, 792.0, 51.5, 36.1, 50.5, 25.7, 58.4, 3.0, 61.6, 24.5, 50.0, 34.7, 60.0, 11.2, 53.9, 36.2, 50.5, 34.3, 45.0, 42.6, 46.7, 15.0, 5.5, 65603184, 2870780, 61981012, 54792956, 0.0, 2097148, 0, 2097148, 0, 136, 0, 736, 0, 7
1696704339, 7, 20, 852.0, 53.0, 35.7, 54.3, 26.7, 58.1, 1.0, 60.6, 26.5, 52.1, 42.0, 63.9, 14.9, 57.7, 35.8, 56.3, 31.1, 56.2, 51.9, 53.9, 25.7, 5.5, 65603184, 2867944, 61983840, 54795776, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696704340, 8, 20, 786.0, 51.1, 36.3, 52.5, 23.8, 59.0, 2.0, 63.9, 18.2, 51.6, 40.2, 60.2, 13.0, 52.6, 29.7, 53.4, 30.1, 41.6, 45.2, 44.0, 19.6, 5.5, 65603184, 2874164, 61977596, 54789516, 0.0, 2097148, 0, 2097148, 0, 13, 0, 56, 0, 6
1696704341, 9, 20, 654.0, 41.2, 41.4, 41.2, 19.8, 51.6, 0.0, 56.2, 17.8, 39.1, 34.9, 54.2, 8.8, 45.3, 31.0, 44.7, 27.6, 31.3, 29.1, 36.6, 7.9, 5.5, 65603184, 2878556, 61973204, 54785124, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
