Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1695746863, 0, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695746864, 1, enp5s0f1, 142490160, 0, 334437, 0, 0, 0, 0, 0
1695746865, 2, enp5s0f1, 161197867, 0, 364168, 0, 0, 0, 0, 0
1695746866, 3, enp5s0f1, 166402362, 0, 358463, 0, 0, 0, 0, 0
1695746867, 4, enp5s0f1, 169785854, 0, 371666, 0, 0, 0, 0, 0
1695746868, 5, enp5s0f1, 191862626, 107, 394773, 1, 0, 0, 0, 0
1695746869, 6, enp5s0f1, 133670201, 0, 312973, 0, 0, 0, 0, 0
1695746870, 7, enp5s0f1, 98642078, 0, 269407, 0, 0, 0, 0, 0
1695746871, 8, enp5s0f1, 128304875, 334, 288098, 1, 0, 0, 0, 0
1695746872, 9, enp5s0f1, 153009202, 0, 322075, 0, 0, 0, 0, 0
1695746873, 10, enp5s0f1, 76306410, 0, 150403, 0, 0, 0, 0, 0
1695746874, 11, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695746875, 12, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695746876, 13, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695746877, 14, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695746878, 15, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695746879, 16, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695746880, 17, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695746881, 18, enp5s0f1, 700, 0, 4, 0, 0, 0, 0, 0
1695746882, 19, enp5s0f1, 86, 334, 1, 1, 0, 0, 0, 0
1695746883, 20, enp5s0f1, 706, 202, 4, 1, 0, 0, 0, 0
1695746884, 21, enp5s0f1, 217, 334, 2, 1, 0, 0, 0, 0
1695746885, 22, enp5s0f1, 204, 107, 1, 1, 0, 0, 0, 0
1695746886, 23, enp5s0f1, 0, 536, 0, 2, 0, 0, 0, 0
1695746887, 24, enp5s0f1, 62, 0, 1, 0, 0, 0, 0, 0
1695746888, 25, enp5s0f1, 437, 0, 2, 0, 0, 0, 0, 0
1695746889, 26, enp5s0f1, 0, 107, 0, 1, 0, 0, 0, 0
1695746890, 27, enp5s0f1, 0, 334, 0, 1, 0, 0, 0, 0
1695746891, 28, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695746892, 29, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
