Timestamp,  Uptime, NCPU, %CPU, %CPU0, %CPU1, %CPU2, %CPU3, %CPU4, %CPU5, %CPU6, %CPU7, %CPU8, %CPU9, %CPU10, %CPU11, %CPU12, %CPU13, %CPU14, %CPU15, %CPU16, %CPU17, %CPU18, %CPU19, %MEM, mem.total.KB, mem.used.KB, mem.avail.KB, mem.free.KB, %SWAP, swap.total.KB, swap.used.KB, swap.free.KB, io.read, io.write, io.read.KB, io.write.KB, io.read.ms, io.write.ms
1696882108, 0, 20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.9, 65603184, 1779036, 63072688, 55790528, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882109, 1, 20, 208.0, 5.2, 5.2, 2.0, 0.0, 9.0, 0.0, 13.6, 8.5, 19.8, 1.0, 43.3, 2.0, 14.0, 36.4, 23.8, 6.1, 1.0, 3.0, 4.1, 1.0, 3.9, 65603184, 1777256, 63074472, 55792332, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882110, 2, 20, 174.0, 8.3, 4.1, 5.9, 1.0, 16.5, 1.0, 17.5, 3.0, 38.8, 1.0, 26.5, 0.0, 19.6, 4.2, 13.8, 8.1, 3.0, 2.0, 0.0, 0.0, 3.9, 65603184, 1784232, 63067484, 55785340, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882111, 3, 20, 146.0, 6.4, 4.2, 1.0, 1.0, 15.2, 0.0, 13.3, 0.0, 27.8, 1.0, 29.0, 0.0, 19.6, 3.1, 14.1, 7.4, 2.0, 0.0, 1.1, 1.0, 3.9, 65603184, 1794180, 63057536, 55775392, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882112, 4, 20, 174.0, 9.3, 5.2, 7.9, 0.0, 16.7, 0.0, 17.5, 1.0, 29.5, 1.0, 32.7, 0.0, 16.8, 2.2, 13.4, 15.2, 3.0, 0.0, 0.0, 0.0, 3.9, 65603184, 1795876, 63055840, 55773696, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882113, 5, 20, 182.0, 7.3, 6.1, 2.0, 0.0, 13.5, 1.0, 4.7, 3.0, 48.0, 1.0, 30.7, 0.0, 19.2, 3.1, 14.4, 21.3, 0.0, 2.0, 2.1, 0.0, 3.9, 65603184, 1796512, 63055200, 55773056, 0.0, 2097148, 0, 2097148, 0, 94, 0, 496, 0, 10
1696882114, 6, 20, 148.0, 5.6, 4.3, 1.0, 0.0, 10.2, 1.0, 10.8, 1.0, 36.0, 3.0, 41.7, 0.0, 10.6, 4.0, 6.7, 4.4, 3.9, 0.0, 3.3, 0.0, 3.9, 65603184, 1794620, 63057088, 55774940, 0.0, 2097148, 0, 2097148, 0, 19, 0, 80, 0, 8
1696882115, 7, 20, 156.0, 5.0, 4.2, 7.0, 0.0, 7.7, 1.0, 18.4, 1.0, 30.8, 1.0, 33.3, 0.0, 18.7, 4.3, 13.1, 5.3, 2.0, 1.0, 3.0, 0.0, 3.9, 65603184, 1783580, 63068120, 55786032, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882116, 8, 20, 14.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1771204, 63080496, 55798408, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882117, 9, 20, 16.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 5.0, 0.0, 1.0, 0.0, 5.9, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 1.0, 0.0, 0.0, 3.8, 65603184, 1760732, 63090968, 55808880, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882118, 10, 20, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1761016, 63090680, 55808592, 0.0, 2097148, 0, 2097148, 0, 2, 0, 52, 0, 1
1696882119, 11, 20, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1761016, 63090680, 55808592, 0.0, 2097148, 0, 2097148, 0, 76, 0, 352, 0, 9
1696882120, 12, 20, 6.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1761716, 63089980, 55807892, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882121, 13, 20, 12.0, 0.0, 1.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0.0, 0.0, 0.0, 2.9, 0.0, 0.0, 0.0, 0.0, 1.0, 3.8, 65603184, 1761716, 63089980, 55807892, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882122, 14, 20, 6.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 3.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 1.0, 0.0, 0.0, 3.8, 65603184, 1761964, 63089732, 55807640, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882123, 15, 20, 6.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1761964, 63089732, 55807640, 0.0, 2097148, 0, 2097148, 0, 2, 0, 44, 0, 1
1696882124, 16, 20, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.9, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1761956, 63089732, 55807640, 0.0, 2097148, 0, 2097148, 0, 133, 0, 624, 0, 9
1696882125, 17, 20, 8.0, 1.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0, 0.0, 2.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1761956, 63089732, 55807640, 0.0, 2097148, 0, 2097148, 0, 1, 0, 8, 0, 0
1696882126, 18, 20, 10.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 4.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.8, 65603184, 1761956, 63089732, 55807640, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882127, 19, 20, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1761956, 63089732, 55807640, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882128, 20, 20, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1761956, 63089732, 55807640, 0.0, 2097148, 0, 2097148, 0, 2, 0, 56, 0, 2
1696882129, 21, 20, 6.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1761956, 63089732, 55807640, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882130, 22, 20, 6.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1761948, 63089732, 55807640, 0.0, 2097148, 0, 2097148, 0, 52, 0, 228, 0, 6
1696882131, 23, 20, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1761948, 63089732, 55807640, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882132, 24, 20, 8.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.8, 65603184, 1757956, 63093724, 55811632, 0.0, 2097148, 0, 2097148, 0, 0, 0, 0, 0, 0
1696882133, 25, 20, 4.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1758452, 63093244, 55811132, 0.0, 2097148, 0, 2097148, 0, 2, 0, 32, 0, 1
1696882134, 26, 20, 6.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.8, 65603184, 1758452, 63093244, 55811132, 0.0, 2097148, 0, 2097148, 0, 3, 0, 20, 0, 1
1696882135, 27, 20, 8.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.8, 65603184, 1758704, 63092992, 55810880, 0.0, 2097148, 0, 2097148, 0, 47, 0, 204, 0, 6
