Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1697158794, 0, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158795, 1, enp1s0f0, 355417784, 0, 791615, 0, 0, 0, 0, 0
1697158796, 2, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158797, 3, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158798, 4, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158799, 5, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158800, 6, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158801, 7, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158802, 8, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158803, 9, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158804, 10, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158805, 11, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158806, 12, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158807, 13, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158808, 14, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158809, 15, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158810, 16, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158811, 17, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158812, 18, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158813, 19, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
1697158814, 20, enp1s0f0, 0, 0, 0, 0, 0, 0, 0, 0
