Timestamp,  Uptime, NIC, sent.B, recv.B, sent.pkts, recv.pkts, err.in, err.out, drop.in, drop.out
1695719952, 0, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695719953, 1, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695719954, 2, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695719955, 3, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695719956, 4, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695719957, 5, enp5s0f1, 786, 334, 5, 1, 0, 0, 0, 0
1695719958, 6, enp5s0f1, 172, 0, 2, 0, 0, 0, 0, 0
1695719959, 7, enp5s0f1, 644, 536, 3, 2, 0, 0, 0, 0
1695719960, 8, enp5s0f1, 107, 107, 1, 1, 0, 0, 0, 0
1695719961, 9, enp5s0f1, 204, 0, 1, 0, 0, 0, 0, 0
1695719962, 10, enp5s0f1, 62, 536, 1, 2, 0, 0, 0, 0
1695719963, 11, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695719964, 12, enp5s0f1, 437, 107, 2, 1, 0, 0, 0, 0
1695719965, 13, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695719966, 14, enp5s0f1, 0, 334, 0, 1, 0, 0, 0, 0
1695719967, 15, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695719968, 16, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695719969, 17, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695719970, 18, enp5s0f1, 62, 0, 1, 0, 0, 0, 0, 0
1695719971, 19, enp5s0f1, 0, 0, 0, 0, 0, 0, 0, 0
1695719972, 20, enp5s0f1, 437, 107, 2, 1, 0, 0, 0, 0
